n,n_fight,n_concede,n_escalate,amount_at_risk,gross_recovered,net_pnl,recovery_rate,fight_win_rate,ops_cost,threshold
2000,1267,733,0,3609733.6999999997,1445216.85,241566.84999999998,0.4003666115314823,0.5722178374112076,1203650.0,0.24
2000,1267,733,0,3609733.6999999997,1445216.85,241566.84999999998,0.4003666115314823,0.5722178374112076,1203650.0,0.25
2000,1267,733,0,3609733.6999999997,1445216.85,241566.84999999998,0.4003666115314823,0.5722178374112076,1203650.0,0.26
2000,1267,733,0,3609733.6999999997,1445216.85,241566.84999999998,0.4003666115314823,0.5722178374112076,1203650.0,0.27
2000,1267,733,0,3609733.6999999997,1445216.85,241566.84999999998,0.4003666115314823,0.5722178374112076,1203650.0,0.28
2000,1267,733,0,3609733.6999999997,1445216.85,241566.84999999998,0.4003666115314823,0.5722178374112076,1203650.0,0.29
2000,1267,733,0,3609733.6999999997,1445216.85,241566.84999999998,0.4003666115314823,0.5722178374112076,1203650.0,0.3
2000,1267,733,0,3609733.6999999997,1445216.85,241566.84999999998,0.4003666115314823,0.5722178374112076,1203650.0,0.31
2000,1266,734,0,3609733.6999999997,1445216.85,242516.84999999998,0.4003666115314823,0.5726698262243286,1202700.0,0.32
2000,1066,934,0,3609733.6999999997,1352559.23,339859.23,0.37469778726336517,0.6238273921200751,1012700.0,0.33
2000,1066,934,0,3609733.6999999997,1352559.23,339859.23,0.37469778726336517,0.6238273921200751,1012700.0,0.34
2000,954,1046,0,3609733.6999999997,1285795.8599999999,379495.86,0.3562024145991711,0.6457023060796646,906300.0,0.35
2000,951,1049,0,3609733.6999999997,1277776.92,374326.92000000004,0.3539809377073993,0.6456361724500526,903450.0,0.36
2000,950,1050,0,3609733.6999999997,1277594.57,375094.57,0.35393042151558163,0.6452631578947369,902500.0,0.37
2000,943,1057,0,3609733.6999999997,1273181.72,377331.72000000003,0.3527079352141683,0.6458112407211029,895850.0,0.38
2000,943,1057,0,3609733.6999999997,1273181.72,377331.72000000003,0.3527079352141683,0.6458112407211029,895850.0,0.39
2000,943,1057,0,3609733.6999999997,1273181.72,377331.72000000003,0.3527079352141683,0.6458112407211029,895850.0,0.4
2000,943,1057,0,3609733.6999999997,1273181.72,377331.72000000003,0.3527079352141683,0.6458112407211029,895850.0,0.41
2000,943,1057,0,3609733.6999999997,1273181.72,377331.72000000003,0.3527079352141683,0.6458112407211029,895850.0,0.42
2000,943,1057,0,3609733.6999999997,1273181.72,377331.72000000003,0.3527079352141683,0.6458112407211029,895850.0,0.43
2000,943,1057,0,3609733.6999999997,1273181.72,377331.72000000003,0.3527079352141683,0.6458112407211029,895850.0,0.44
2000,943,1057,0,3609733.6999999997,1273181.72,377331.72000000003,0.3527079352141683,0.6458112407211029,895850.0,0.45
2000,943,1057,0,3609733.6999999997,1273181.72,377331.72000000003,0.3527079352141683,0.6458112407211029,895850.0,0.46
2000,943,1057,0,3609733.6999999997,1273181.72,377331.72000000003,0.3527079352141683,0.6458112407211029,895850.0,0.47
2000,943,1057,0,3609733.6999999997,1273181.72,377331.72000000003,0.3527079352141683,0.6458112407211029,895850.0,0.48
2000,943,1057,0,3609733.6999999997,1273181.72,377331.72000000003,0.3527079352141683,0.6458112407211029,895850.0,0.49
2000,942,1058,0,3609733.6999999997,1272114.59,377214.59,0.3524123095285395,0.6454352441613588,894900.0,0.5
2000,860,1140,0,3609733.6999999997,1201628.8800000001,384628.88,0.3328857416822743,0.6616279069767442,817000.0,0.51
2000,859,1141,0,3609733.6999999997,1200603.02,384553.02,0.3326015489729894,0.6612339930151339,816050.0,0.52
2000,730,1270,0,3609733.6999999997,1067883.77,374383.77,0.2958345015866406,0.6794520547945205,693500.0,0.53
